id	survived	pclass	sex	age	sibsp	parch	fare	embarked
117	0	2	male	29	1	0	21	S
119	0	3	female	2	4	2	31.275	S
120	0	2	male	21	2	0	73.5	S
121	0	3	male		0	0	8.05	S
123	1	2	female	32.5	0	0	13	S
125	1	3	male	12	1	0	11.2417	C
126	0	3	male		0	0	7.75	Q
128	1	3	female		1	1	22.3583	C
129	0	3	male	45	0	0	6.975	S
130	0	3	male	33	0	0	7.8958	C
131	0	3	male	20	0	0	7.05	S
134	0	2	male	25	0	0	13	S
135	0	2	male	23	0	0	15.0458	C
136	1	1	female	19	0	2	26.2833	S
137	0	1	male	37	1	0	53.1	S
138	0	3	male	16	0	0	9.2167	S
139	0	1	male	24	0	0	79.2	C
143	0	3	male	19	0	0	6.75	Q
146	1	3	male	27	0	0	7.7958	S
147	0	3	female	9	2	2	34.375	S
148	0	2	male	36.5	0	2	26	S
149	0	2	male	42	0	0	13	S
151	1	1	female	22	1	0	66.6	S
152	0	3	male	55.5	0	0	8.05	S
153	0	3	male	40.5	0	2	14.5	S
160	0	3	male	44	0	1	16.1	S
163	0	3	male	17	0	0	8.6625	S
164	0	3	male	1	4	1	39.6875	S
166	1	1	female		0	1	55	S
168	0	1	male		0	0	25.925	S
169	0	3	male	28	0	0	56.4958	S
174	0	1	male	56	0	0	30.6958	C
176	0	3	male		3	1	25.4667	S
177	0	1	female	50	0	0	28.7125	C
180	0	3	female		8	2	69.55	S
182	0	3	male	9	4	2	31.3875	S
183	1	2	male	1	2	1	39	S
184	1	3	female	4	0	2	22.025	S
186	1	3	female		1	0	15.5	Q
189	0	3	male	36	0	0	7.8958	S
191	0	2	male	19	0	0	13	S
192	1	3	female	19	1	0	7.8542	S
195	1	1	female	58	0	0	146.5208	C
197	0	3	male	42	0	1	8.4042	S
199	0	2	female	24	0	0	13	S
201	0	3	male		8	2	69.55	S
203	0	3	male	45.5	0	0	7.225	C
207	1	3	male	26	0	0	18.7875	C
209	1	1	male	40	0	0	31	C
212	0	3	male	22	0	0	7.25	S
213	0	2	male	30	0	0	13	S
216	1	3	female	27	0	0	7.925	S
217	0	2	male	42	1	0	27	S
219	0	2	male	30	0	0	10.5	S
221	0	2	male	27	0	0	13	S
224	1	1	male	38	1	0	90	S
225	0	3	male	22	0	0	9.35	S
226	1	2	male	19	0	0	10.5	S
227	0	3	male	20.5	0	0	7.25	S
228	0	2	male	18	0	0	13	S
232	0	2	male	59	0	0	13.5	S
234	0	2	male	24	0	0	10.5	S
237	1	2	female	8	0	2	26.25	S
244	0	3	male	30	0	0	7.225	C
246	0	3	female	25	0	0	7.775	S
248	1	1	male	37	1	1	52.5542	S
254	0	3	female	41	0	2	20.2125	S
256	1	1	female		0	0	79.2	C
257	1	1	female	30	0	0	86.5	S
259	1	2	female	50	0	1	26	S
260	0	3	male		0	0	7.75	Q
265	0	2	male	36	0	0	10.5	S
269	1	1	female	35	0	0	135.6333	S
273	0	1	male	37	0	1	29.7	C
274	1	3	female		0	0	7.75	Q
275	1	1	female	63	1	0	77.9583	S
276	0	3	female	45	0	0	7.75	S
277	0	2	male		0	0	0	S
280	0	3	male	65	0	0	7.75	Q
281	0	3	male	28	0	0	7.8542	S
282	0	3	male	16	0	0	9.5	S
284	0	1	male		0	0	26	S
286	1	3	male	30	0	0	9.5	S
287	0	3	male	22	0	0	7.8958	S
288	1	2	male	42	0	0	13	S
289	1	3	female	22	0	0	7.75	Q
290	1	1	female	26	0	0	78.85	S
291	1	1	female	19	1	0	91.0792	C
292	0	2	male	36	0	0	12.875	C
295	0	1	male		0	0	27.7208	C
296	0	3	male	23.5	0	0	7.2292	C
297	0	1	female	2	1	2	151.55	S
300	1	3	female		0	0	7.75	Q
305	1	1	male	0.92	1	2	151.55	S
307	1	1	female	17	1	0	108.9	C
314	0	2	male	43	1	1	26.25	S
321	0	3	male	27	0	0	7.8958	S
322	1	2	female	30	0	0	12.35	Q
323	1	2	female	22	1	1	29	S
324	0	3	male		8	2	69.55	S
325	1	1	female	36	0	0	135.6333	C
326	0	3	male	61	0	0	6.2375	S
328	1	3	female	31	1	1	20.525	S
329	1	1	female	16	0	1	57.9792	C
330	1	3	female		2	0	23.25	Q
332	0	1	male	38	0	1	153.4625	S
335	0	3	male		0	0	7.8958	S
336	0	1	male	29	1	0	66.6	S
339	0	1	male	45	0	0	35.5	S
340	1	2	male	2	1	1	26	S
341	1	1	female	24	3	2	263	S
343	0	2	male	25	0	0	13	S
347	1	3	female		1	0	16.1	S
348	1	3	male	3	1	1	15.9	S
349	0	3	male	42	0	0	8.6625	S
353	0	3	male	25	1	0	17.8	S
355	0	3	male	28	0	0	9.5	S
357	0	2	female	38	0	0	13	S
359	1	3	female		0	0	7.8792	Q
360	0	3	male	40	1	4	27.9	S
365	0	3	male	30	0	0	7.25	S
368	1	3	female		0	0	7.75	Q
369	1	1	female	24	0	0	69.3	C
370	1	1	male	25	1	0	55.4417	C
371	0	3	male	18	1	0	6.4958	S
373	0	1	male	22	0	0	135.6333	C
376	1	3	female	22	0	0	7.25	S
377	0	1	male	27	0	2	211.5	C
381	1	3	female	1	0	2	15.7417	C
383	1	1	female	35	1	0	52	S
385	0	2	male	18	0	0	73.5	S
387	1	2	female	36	0	0	13	S
388	0	3	male		0	0	7.7292	Q
393	1	1	female	23	1	0	113.275	C
394	1	3	female	24	0	2	16.7	S
396	0	3	female	31	0	0	7.8542	S
398	0	2	male	23	0	0	10.5	S
400	1	3	male	39	0	0	7.925	S
404	0	3	female	20	0	0	8.6625	S
405	0	2	male	34	1	0	21	S
407	1	2	male	3	1	1	18.75	S
410	0	3	male		0	0	7.8958	S
411	0	3	male		0	0	6.8583	Q
414	1	3	male	44	0	0	7.925	S
415	0	3	female		0	0	8.05	S
417	1	2	female	18	0	2	13	S
419	0	3	female	10	0	2	24.15	S
421	0	3	male	21	0	0	7.7333	Q
423	0	3	female	28	1	1	14.4	S
426	1	2	female	28	1	0	26	S
427	1	2	female	19	0	0	26	S
429	1	3	male	32	0	0	8.05	S
430	1	1	male	28	0	0	26.55	S
431	1	3	female		1	0	16.1	S
433	0	3	male	17	0	0	7.125	S
435	1	1	female	14	1	2	120	S
437	1	2	female	24	2	3	18.75	S
438	0	1	male	64	1	4	263	S
442	0	3	male	25	1	0	7.775	S
444	1	3	male		0	0	8.1125	S
445	1	1	male	4	0	2	81.8583	S
446	1	2	female	13	0	1	19.5	S
448	1	3	female	5	2	1	19.2583	C
449	1	1	male	52	0	0	30.5	S
450	0	2	male	36	1	2	27.75	S
454	0	3	male		0	0	8.05	S
455	1	3	male	29	0	0	7.8958	C
459	0	3	male		0	0	7.75	Q
461	0	3	male	34	0	0	8.05	S
463	0	2	male	48	0	0	13	S
464	0	3	male		0	0	8.05	S
466	0	2	male		0	0	0	S
468	0	3	male		0	0	7.725	Q
469	1	3	female	0.75	2	1	19.2583	C
470	0	3	male		0	0	7.25	S
472	1	2	female	33	1	2	27.75	S
473	1	2	female	23	0	0	13.7917	C
478	0	3	male	22	0	0	7.5208	S
480	0	3	male	9	5	2	46.9	S
486	1	1	female	35	1	0	90	S
488	0	3	male	30	0	0	8.05	S
490	0	3	male		1	0	19.9667	S
497	0	3	male		0	0	15.1	S
498	0	1	female	25	1	2	151.55	S
499	0	3	male	24	0	0	7.7958	S
502	0	3	female		0	0	7.6292	Q
504	1	1	female	16	0	0	86.5	S
507	1	1	male		0	0	26.55	S
508	0	3	male	28	0	0	22.525	S
509	1	3	male	26	0	0	56.4958	S
510	1	3	male	29	0	0	7.75	Q
512	1	1	male	36	0	0	26.2875	S
514	0	3	male	24	0	0	7.4958	S
515	0	1	male	47	0	0	34.0208	S
517	0	3	male		0	0	24.15	Q
525	0	3	male	40.5	0	0	7.75	Q
528	0	3	male	39	0	0	7.925	S
534	0	3	female	30	0	0	8.6625	S
536	0	1	male	45	0	0	26.55	S
537	1	1	female	30	0	0	106.425	C
539	1	1	female	22	0	2	49.5	C
540	1	1	female	36	0	2	71	S
541	0	3	female	9	4	2	31.275	S
543	1	2	male	32	1	0	26	S
544	0	1	male	50	1	0	106.425	C
546	1	2	female	19	1	0	26	S
547	1	2	male		0	0	13.8625	C
548	0	3	male	33	1	1	20.525	S
550	1	1	male	17	0	2	110.8833	C
551	0	2	male	27	0	0	26	S
552	0	3	male		0	0	7.8292	Q
554	1	3	female	22	0	0	7.775	S
555	0	1	male	62	0	0	26.55	S
556	1	1	female	48	1	0	39.6	C
559	1	3	female	36	1	0	17.4	S
560	0	3	male		0	0	7.75	Q
562	0	2	male	28	0	0	13.5	S
565	0	3	male	24	2	0	24.15	S
568	0	3	male		0	0	7.2292	C
569	1	3	male	32	0	0	7.8542	S
571	1	1	female	53	2	0	51.4792	S
574	0	3	male	16	0	0	8.05	S
575	0	3	male	19	0	0	14.5	S
576	1	2	female	34	0	0	13	S
577	1	1	female	39	1	0	55.9	S
579	1	3	male	32	0	0	7.925	S
581	1	1	female	39	1	1	110.8833	C
582	0	2	male	54	0	0	26	S
584	0	3	male		0	0	8.7125	C
586	0	2	male	47	0	0	15	S
589	0	3	male		0	0	8.05	S
590	0	3	male	35	0	0	7.125	S
591	1	1	female	52	1	0	78.2667	C
593	0	3	female		0	2	7.75	Q
594	0	2	male	37	1	0	26	S
595	0	3	male	36	1	1	24.15	S
598	0	3	male		0	0	7.225	C
599	1	1	male	49	1	0	56.9292	C
600	1	2	female	24	2	1	27	S
601	0	3	male		0	0	7.8958	S
602	0	1	male		0	0	42.4	S
604	1	1	male	35	0	0	26.55	C
605	0	3	male	36	1	0	15.55	S
606	0	3	male	30	0	0	7.8958	S
607	1	1	male	27	0	0	30.5	S
608	1	2	female	22	1	2	41.5792	C
610	0	3	female	39	1	5	31.275	S
611	0	3	male		0	0	7.05	S
613	0	3	male		0	0	7.75	Q
616	0	3	male	34	1	1	14.4	S
617	0	3	female	26	1	0	16.1	S
621	1	1	male	42	1	0	52.5542	S
622	1	3	male	20	1	1	15.7417	C
623	0	3	male	21	0	0	7.8542	S
624	0	3	male	21	0	0	16.1	S
628	0	3	male	26	0	0	7.8958	S
629	0	3	male		0	0	7.7333	Q
630	1	1	male	80	0	0	30	S
633	0	1	male		0	0	0	S
636	0	3	male	32	0	0	7.925	S
637	0	2	male	31	1	1	26.25	S
639	0	3	male		1	0	16.1	S
640	0	3	male	20	0	0	7.8542	S
641	1	1	female	24	0	0	69.3	C
645	1	1	male	48	1	0	76.7292	C
649	1	3	female	23	0	0	7.55	S
651	1	2	female	18	0	1	23	S
659	0	1	male	58	0	2	113.275	C
660	1	1	male	50	2	0	133.65	S
661	0	3	male	40	0	0	7.225	C
662	0	1	male	47	0	0	25.5875	S
663	0	3	male	36	0	0	7.4958	S
664	1	3	male	20	1	0	7.925	S
665	0	2	male	32	2	0	73.5	S
667	0	3	male		0	0	7.775	S
668	0	3	male	43	0	0	8.05	S
670	1	2	female	40	1	1	39	S
673	1	2	male	31	0	0	13	S
675	0	3	male	18	0	0	7.775	S
677	1	3	female	18	0	0	9.8417	S
679	1	1	male	36	0	1	512.3292	C
682	0	3	male	20	0	0	9.225	S
684	0	2	male	60	1	1	39	S
685	0	2	male	25	1	2	41.5792	C
687	0	3	male	19	0	0	10.1708	S
689	1	1	female	15	0	1	211.3375	S
690	1	1	male	31	1	0	57	S
691	1	3	female	4	0	1	13.4167	C
692	1	3	male		0	0	56.4958	S
696	0	3	male	44	0	0	8.05	S
697	1	3	female		0	0	7.7333	Q
699	0	3	male	42	0	0	7.65	S
702	0	3	female	18	0	1	14.4542	C
703	0	3	male	25	0	0	7.7417	Q
705	0	2	male	39	0	0	26	S
707	1	1	male	42	0	0	26.2875	S
709	1	3	male		1	1	15.2458	C
711	0	1	male		0	0	26.55	S
714	0	2	male	52	0	0	13	S
716	1	1	female	38	0	0	227.525	C
717	1	2	female	27	0	0	10.5	S
719	0	3	male	33	0	0	7.775	S
721	0	3	male	17	1	0	7.0542	S
723	0	2	male	50	0	0	13	S
729	0	3	female	25	1	0	7.925	S
730	1	1	female	29	0	0	211.3375	S
732	0	2	male		0	0	0	S
733	0	2	male	23	0	0	13	S
734	0	2	male	23	0	0	13	S
736	0	3	female	48	1	3	34.375	S
737	1	1	male	35	0	0	512.3292	C
739	0	3	male		0	0	7.8958	S
741	0	1	male	36	1	0	78.85	S
743	0	3	male	24	1	0	16.1	S
745	0	1	male	70	1	1	71	S
746	0	3	male	16	1	1	20.25	S
747	1	2	female	30	0	0	13	S
748	0	1	male	19	1	0	53.1	S
749	0	3	male	31	0	0	7.75	Q
751	1	3	male	6	0	1	12.475	S
754	1	2	female	48	1	2	65	S
755	1	2	male	0.67	1	1	14.5	S
756	0	3	male	28	0	0	7.7958	S
757	0	2	male	18	0	0	11.5	S
758	0	3	male	34	0	0	8.05	S
759	1	1	female	33	0	0	86.5	S
763	1	1	female	36	1	2	120	S
765	1	1	female	51	1	0	77.9583	S
767	0	3	female	30.5	0	0	7.75	Q
770	0	3	male	24	0	0	9.5	S
772	0	2	female	57	0	0	10.5	S
773	0	3	male		0	0	7.225	C
774	1	2	female	54	1	3	23	S
775	0	3	male	18	0	0	7.75	S
776	0	3	male		0	0	7.75	Q
777	1	3	female	5	0	0	12.475	S
779	1	1	female	43	0	1	211.3375	S
781	1	1	female	17	1	0	57	S
783	0	3	male		1	2	23.45	S
789	0	1	male	46	0	0	79.2	C
790	0	3	male		0	0	7.75	Q
791	0	2	male	16	0	0	26	S
792	0	3	female		8	2	69.55	S
793	0	1	male		0	0	30.6958	C
794	0	3	male	25	0	0	7.8958	S
795	0	2	male	39	0	0	13	S
797	1	3	female	31	0	0	8.6833	S
798	0	3	male	30	0	0	7.2292	C
801	1	2	female	31	1	1	26.25	S
802	1	1	male	11	1	2	120	S
804	1	3	male	27	0	0	6.975	S
805	0	3	male	31	0	0	7.775	S
809	1	1	female	33	1	0	53.1	S
812	0	2	male	35	0	0	10.5	S
814	0	3	male	30.5	0	0	8.05	S
821	1	3	male	27	0	0	8.6625	S
824	0	3	male	2	4	1	39.6875	S
826	0	3	male		0	0	56.4958	S
828	1	3	male		0	0	7.75	Q
829	1	1	female	62	0	0	80	
830	1	3	female	15	1	0	14.4542	C
831	1	2	male	0.83	1	1	18.75	S
834	0	3	male	18	0	0	8.3	S
835	1	1	female	39	1	1	83.1583	C
836	0	3	male	21	0	0	8.6625	S
840	0	3	male	20	0	0	7.925	S
842	1	1	female	30	0	0	31	C
844	0	3	male	17	0	0	8.6625	S
845	0	3	male	42	0	0	7.55	S
846	0	3	male		8	2	69.55	S
847	0	3	male	35	0	0	7.8958	C
849	1	1	female		1	0	89.1042	C
850	0	3	male	4	4	2	31.275	S
853	1	1	female	16	0	1	39.4	S
854	0	2	female	44	1	0	26	S
855	1	3	female	18	0	1	9.35	S
856	1	1	female	45	1	1	164.8667	S
858	1	3	female	24	0	3	19.2583	C
860	0	3	male	41	2	0	14.1083	S
861	0	2	male	21	1	0	11.5	S
863	0	3	female		8	2	69.55	S
865	1	2	female	42	0	0	13	S
867	0	1	male	31	0	0	50.4958	S
868	0	3	male		0	0	9.5	S
869	1	3	male	4	1	1	11.1333	S
871	1	1	female	47	1	1	52.5542	S
872	0	1	male	33	0	0	5	S
873	0	3	male	47	0	0	9	S
874	1	2	female	28	1	0	24	C
879	1	1	female	56	0	1	83.1583	C
884	0	3	male	25	0	0	7.05	S
888	0	3	female		1	2	23.45	S
